gene_symbol,ensembl_id,sample_name,tissue,condition_name,expression_value,expression_unit,source_database
TNF,ENSG00000232810,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,5.0,TPM,Human Protein Atlas
TNF,ENSG00000232810,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,6.1,TPM,Human Protein Atlas
TNF,ENSG00000232810,neutrophil,neutrophil,normal immune cell,14.3,TPM,Human Protein Atlas
TNF,ENSG00000232810,non-classical monocyte,non-classical monocyte,normal immune cell,60.1,TPM,Human Protein Atlas
TNF,ENSG00000232810,plasmacytoid DC,plasmacytoid DC,normal immune cell,4.4,TPM,Human Protein Atlas
TNF,ENSG00000232810,total PBMC,total PBMC,normal immune cell,6.7,TPM,Human Protein Atlas
IFNG,ENSG00000111537,MAIT T-cell,MAIT T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IFNG,ENSG00000111537,NK-cell,NK-cell,normal immune cell,1.1,TPM,Human Protein Atlas
IFNG,ENSG00000111537,T-reg,T-reg,normal immune cell,0.1,TPM,Human Protein Atlas
IFNG,ENSG00000111537,basophil,basophil,normal immune cell,0.0,TPM,Human Protein Atlas
IFNG,ENSG00000111537,classical monocyte,classical monocyte,normal immune cell,0.0,TPM,Human Protein Atlas
IFNG,ENSG00000111537,eosinophil,eosinophil,normal immune cell,0.0,TPM,Human Protein Atlas
IFNG,ENSG00000111537,gdT-cell,gdT-cell,normal immune cell,6.0,TPM,Human Protein Atlas
IFNG,ENSG00000111537,intermediate monocyte,intermediate monocyte,normal immune cell,0.0,TPM,Human Protein Atlas
IFNG,ENSG00000111537,memory B-cell,memory B-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IFNG,ENSG00000111537,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,2.3,TPM,Human Protein Atlas
IFNG,ENSG00000111537,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,6.6,TPM,Human Protein Atlas
IFNG,ENSG00000111537,myeloid DC,myeloid DC,normal immune cell,0.0,TPM,Human Protein Atlas
IFNG,ENSG00000111537,naive B-cell,naive B-cell,normal immune cell,0.3,TPM,Human Protein Atlas
IFNG,ENSG00000111537,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,0.5,TPM,Human Protein Atlas
IFNG,ENSG00000111537,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,3.7,TPM,Human Protein Atlas
IFNG,ENSG00000111537,neutrophil,neutrophil,normal immune cell,0.1,TPM,Human Protein Atlas
IFNG,ENSG00000111537,non-classical monocyte,non-classical monocyte,normal immune cell,0.0,TPM,Human Protein Atlas
IFNG,ENSG00000111537,plasmacytoid DC,plasmacytoid DC,normal immune cell,0.0,TPM,Human Protein Atlas
IFNG,ENSG00000111537,total PBMC,total PBMC,normal immune cell,0.4,TPM,Human Protein Atlas
IL10,ENSG00000136634,MAIT T-cell,MAIT T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL10,ENSG00000136634,NK-cell,NK-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL10,ENSG00000136634,T-reg,T-reg,normal immune cell,0.3,TPM,Human Protein Atlas
IL10,ENSG00000136634,basophil,basophil,normal immune cell,0.0,TPM,Human Protein Atlas
IL10,ENSG00000136634,classical monocyte,classical monocyte,normal immune cell,1.4,TPM,Human Protein Atlas
IL10,ENSG00000136634,eosinophil,eosinophil,normal immune cell,0.0,TPM,Human Protein Atlas
