gene_symbol,ensembl_id,sample_name,tissue,condition_name,expression_value,expression_unit,source_database
STAT1,ENSG00000115415,intermediate monocyte,intermediate monocyte,normal immune cell,159.2,TPM,Human Protein Atlas
STAT1,ENSG00000115415,memory B-cell,memory B-cell,normal immune cell,26.7,TPM,Human Protein Atlas
STAT1,ENSG00000115415,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,122.8,TPM,Human Protein Atlas
STAT1,ENSG00000115415,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,79.2,TPM,Human Protein Atlas
STAT1,ENSG00000115415,myeloid DC,myeloid DC,normal immune cell,52.2,TPM,Human Protein Atlas
STAT1,ENSG00000115415,naive B-cell,naive B-cell,normal immune cell,23.5,TPM,Human Protein Atlas
STAT1,ENSG00000115415,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,116.6,TPM,Human Protein Atlas
STAT1,ENSG00000115415,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,89.8,TPM,Human Protein Atlas
STAT1,ENSG00000115415,neutrophil,neutrophil,normal immune cell,130.9,TPM,Human Protein Atlas
STAT1,ENSG00000115415,non-classical monocyte,non-classical monocyte,normal immune cell,94.1,TPM,Human Protein Atlas
STAT1,ENSG00000115415,plasmacytoid DC,plasmacytoid DC,normal immune cell,26.5,TPM,Human Protein Atlas
STAT1,ENSG00000115415,total PBMC,total PBMC,normal immune cell,80.0,TPM,Human Protein Atlas
STAT3,ENSG00000168610,MAIT T-cell,MAIT T-cell,normal immune cell,62.6,TPM,Human Protein Atlas
STAT3,ENSG00000168610,NK-cell,NK-cell,normal immune cell,60.4,TPM,Human Protein Atlas
STAT3,ENSG00000168610,T-reg,T-reg,normal immune cell,40.9,TPM,Human Protein Atlas
STAT3,ENSG00000168610,basophil,basophil,normal immune cell,94.0,TPM,Human Protein Atlas
STAT3,ENSG00000168610,classical monocyte,classical monocyte,normal immune cell,60.8,TPM,Human Protein Atlas
STAT3,ENSG00000168610,eosinophil,eosinophil,normal immune cell,82.1,TPM,Human Protein Atlas
STAT3,ENSG00000168610,gdT-cell,gdT-cell,normal immune cell,84.8,TPM,Human Protein Atlas
STAT3,ENSG00000168610,intermediate monocyte,intermediate monocyte,normal immune cell,65.7,TPM,Human Protein Atlas
STAT3,ENSG00000168610,memory B-cell,memory B-cell,normal immune cell,28.1,TPM,Human Protein Atlas
STAT3,ENSG00000168610,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,53.5,TPM,Human Protein Atlas
STAT3,ENSG00000168610,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,61.7,TPM,Human Protein Atlas
STAT3,ENSG00000168610,myeloid DC,myeloid DC,normal immune cell,46.1,TPM,Human Protein Atlas
STAT3,ENSG00000168610,naive B-cell,naive B-cell,normal immune cell,29.2,TPM,Human Protein Atlas
STAT3,ENSG00000168610,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,52.6,TPM,Human Protein Atlas
STAT3,ENSG00000168610,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,53.7,TPM,Human Protein Atlas
STAT3,ENSG00000168610,neutrophil,neutrophil,normal immune cell,166.2,TPM,Human Protein Atlas
STAT3,ENSG00000168610,non-classical monocyte,non-classical monocyte,normal immune cell,64.5,TPM,Human Protein Atlas
STAT3,ENSG00000168610,plasmacytoid DC,plasmacytoid DC,normal immune cell,26.5,TPM,Human Protein Atlas
STAT3,ENSG00000168610,total PBMC,total PBMC,normal immune cell,49.4,TPM,Human Protein Atlas
JAK1,ENSG00000162434,MAIT T-cell,MAIT T-cell,normal immune cell,96.0,TPM,Human Protein Atlas
JAK1,ENSG00000162434,NK-cell,NK-cell,normal immune cell,277.7,TPM,Human Protein Atlas
JAK1,ENSG00000162434,T-reg,T-reg,normal immune cell,92.1,TPM,Human Protein Atlas
JAK1,ENSG00000162434,basophil,basophil,normal immune cell,110.0,TPM,Human Protein Atlas
JAK1,ENSG00000162434,classical monocyte,classical monocyte,normal immune cell,34.2,TPM,Human Protein Atlas
JAK1,ENSG00000162434,eosinophil,eosinophil,normal immune cell,107.9,TPM,Human Protein Atlas
JAK1,ENSG00000162434,gdT-cell,gdT-cell,normal immune cell,88.1,TPM,Human Protein Atlas
JAK1,ENSG00000162434,intermediate monocyte,intermediate monocyte,normal immune cell,46.9,TPM,Human Protein Atlas
JAK1,ENSG00000162434,memory B-cell,memory B-cell,normal immune cell,55.9,TPM,Human Protein Atlas
JAK1,ENSG00000162434,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,72.4,TPM,Human Protein Atlas
JAK1,ENSG00000162434,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,91.1,TPM,Human Protein Atlas
JAK1,ENSG00000162434,myeloid DC,myeloid DC,normal immune cell,50.9,TPM,Human Protein Atlas
JAK1,ENSG00000162434,naive B-cell,naive B-cell,normal immune cell,49.1,TPM,Human Protein Atlas
JAK1,ENSG00000162434,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,74.9,TPM,Human Protein Atlas
JAK1,ENSG00000162434,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,67.7,TPM,Human Protein Atlas
JAK1,ENSG00000162434,neutrophil,neutrophil,normal immune cell,97.9,TPM,Human Protein Atlas
JAK1,ENSG00000162434,non-classical monocyte,non-classical monocyte,normal immune cell,57.7,TPM,Human Protein Atlas
JAK1,ENSG00000162434,plasmacytoid DC,plasmacytoid DC,normal immune cell,43.4,TPM,Human Protein Atlas
JAK1,ENSG00000162434,total PBMC,total PBMC,normal immune cell,46.6,TPM,Human Protein Atlas
JAK2,ENSG00000096968,MAIT T-cell,MAIT T-cell,normal immune cell,4.4,TPM,Human Protein Atlas
JAK2,ENSG00000096968,NK-cell,NK-cell,normal immune cell,10.4,TPM,Human Protein Atlas
JAK2,ENSG00000096968,T-reg,T-reg,normal immune cell,3.9,TPM,Human Protein Atlas
JAK2,ENSG00000096968,basophil,basophil,normal immune cell,103.3,TPM,Human Protein Atlas
JAK2,ENSG00000096968,classical monocyte,classical monocyte,normal immune cell,16.6,TPM,Human Protein Atlas
JAK2,ENSG00000096968,eosinophil,eosinophil,normal immune cell,31.0,TPM,Human Protein Atlas
JAK2,ENSG00000096968,gdT-cell,gdT-cell,normal immune cell,5.9,TPM,Human Protein Atlas
JAK2,ENSG00000096968,intermediate monocyte,intermediate monocyte,normal immune cell,16.6,TPM,Human Protein Atlas
JAK2,ENSG00000096968,memory B-cell,memory B-cell,normal immune cell,3.8,TPM,Human Protein Atlas
JAK2,ENSG00000096968,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,3.9,TPM,Human Protein Atlas
JAK2,ENSG00000096968,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,3.1,TPM,Human Protein Atlas
JAK2,ENSG00000096968,myeloid DC,myeloid DC,normal immune cell,22.4,TPM,Human Protein Atlas
JAK2,ENSG00000096968,naive B-cell,naive B-cell,normal immune cell,3.8,TPM,Human Protein Atlas
JAK2,ENSG00000096968,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,2.0,TPM,Human Protein Atlas
JAK2,ENSG00000096968,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,2.7,TPM,Human Protein Atlas
JAK2,ENSG00000096968,neutrophil,neutrophil,normal immune cell,12.4,TPM,Human Protein Atlas
JAK2,ENSG00000096968,non-classical monocyte,non-classical monocyte,normal immune cell,13.7,TPM,Human Protein Atlas
JAK2,ENSG00000096968,plasmacytoid DC,plasmacytoid DC,normal immune cell,9.0,TPM,Human Protein Atlas
JAK2,ENSG00000096968,total PBMC,total PBMC,normal immune cell,3.2,TPM,Human Protein Atlas
IRF3,ENSG00000126456,MAIT T-cell,MAIT T-cell,normal immune cell,51.1,TPM,Human Protein Atlas
IRF3,ENSG00000126456,NK-cell,NK-cell,normal immune cell,49.4,TPM,Human Protein Atlas
IRF3,ENSG00000126456,T-reg,T-reg,normal immune cell,68.5,TPM,Human Protein Atlas
IRF3,ENSG00000126456,basophil,basophil,normal immune cell,18.3,TPM,Human Protein Atlas
IRF3,ENSG00000126456,classical monocyte,classical monocyte,normal immune cell,22.5,TPM,Human Protein Atlas
IRF3,ENSG00000126456,eosinophil,eosinophil,normal immune cell,41.0,TPM,Human Protein Atlas
IRF3,ENSG00000126456,gdT-cell,gdT-cell,normal immune cell,62.4,TPM,Human Protein Atlas
IRF3,ENSG00000126456,intermediate monocyte,intermediate monocyte,normal immune cell,23.2,TPM,Human Protein Atlas
IRF3,ENSG00000126456,memory B-cell,memory B-cell,normal immune cell,25.9,TPM,Human Protein Atlas
IRF3,ENSG00000126456,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,52.7,TPM,Human Protein Atlas
IRF3,ENSG00000126456,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,54.5,TPM,Human Protein Atlas
IRF3,ENSG00000126456,myeloid DC,myeloid DC,normal immune cell,18.7,TPM,Human Protein Atlas
IRF3,ENSG00000126456,naive B-cell,naive B-cell,normal immune cell,26.3,TPM,Human Protein Atlas
IRF3,ENSG00000126456,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,44.3,TPM,Human Protein Atlas
IRF3,ENSG00000126456,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,43.0,TPM,Human Protein Atlas
IRF3,ENSG00000126456,neutrophil,neutrophil,normal immune cell,22.6,TPM,Human Protein Atlas
IRF3,ENSG00000126456,non-classical monocyte,non-classical monocyte,normal immune cell,28.7,TPM,Human Protein Atlas
IRF3,ENSG00000126456,plasmacytoid DC,plasmacytoid DC,normal immune cell,27.5,TPM,Human Protein Atlas
IRF3,ENSG00000126456,total PBMC,total PBMC,normal immune cell,18.0,TPM,Human Protein Atlas
IRF7,ENSG00000185507,MAIT T-cell,MAIT T-cell,normal immune cell,8.0,TPM,Human Protein Atlas
IRF7,ENSG00000185507,NK-cell,NK-cell,normal immune cell,20.7,TPM,Human Protein Atlas
IRF7,ENSG00000185507,T-reg,T-reg,normal immune cell,11.4,TPM,Human Protein Atlas
IRF7,ENSG00000185507,basophil,basophil,normal immune cell,9.6,TPM,Human Protein Atlas
IRF7,ENSG00000185507,classical monocyte,classical monocyte,normal immune cell,16.4,TPM,Human Protein Atlas
IRF7,ENSG00000185507,eosinophil,eosinophil,normal immune cell,24.7,TPM,Human Protein Atlas
IRF7,ENSG00000185507,gdT-cell,gdT-cell,normal immune cell,9.2,TPM,Human Protein Atlas
IRF7,ENSG00000185507,intermediate monocyte,intermediate monocyte,normal immune cell,39.2,TPM,Human Protein Atlas
IRF7,ENSG00000185507,memory B-cell,memory B-cell,normal immune cell,11.9,TPM,Human Protein Atlas
IRF7,ENSG00000185507,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,6.3,TPM,Human Protein Atlas
IRF7,ENSG00000185507,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,6.9,TPM,Human Protein Atlas
IRF7,ENSG00000185507,myeloid DC,myeloid DC,normal immune cell,20.5,TPM,Human Protein Atlas
IRF7,ENSG00000185507,naive B-cell,naive B-cell,normal immune cell,13.3,TPM,Human Protein Atlas
IRF7,ENSG00000185507,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,6.7,TPM,Human Protein Atlas
IRF7,ENSG00000185507,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,7.9,TPM,Human Protein Atlas
IRF7,ENSG00000185507,neutrophil,neutrophil,normal immune cell,9.0,TPM,Human Protein Atlas
IRF7,ENSG00000185507,non-classical monocyte,non-classical monocyte,normal immune cell,40.0,TPM,Human Protein Atlas
IRF7,ENSG00000185507,plasmacytoid DC,plasmacytoid DC,normal immune cell,551.4,TPM,Human Protein Atlas
IRF7,ENSG00000185507,total PBMC,total PBMC,normal immune cell,6.8,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,MAIT T-cell,MAIT T-cell,normal immune cell,1.0,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,NK-cell,NK-cell,normal immune cell,14.6,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,T-reg,T-reg,normal immune cell,17.1,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,basophil,basophil,normal immune cell,5.1,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,classical monocyte,classical monocyte,normal immune cell,175.1,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,eosinophil,eosinophil,normal immune cell,56.1,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,gdT-cell,gdT-cell,normal immune cell,2.3,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,intermediate monocyte,intermediate monocyte,normal immune cell,278.1,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,memory B-cell,memory B-cell,normal immune cell,278.6,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,2.3,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,11.2,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,myeloid DC,myeloid DC,normal immune cell,3.9,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,naive B-cell,naive B-cell,normal immune cell,323.4,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,1.1,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,2.3,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,neutrophil,neutrophil,normal immune cell,9.8,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,non-classical monocyte,non-classical monocyte,normal immune cell,178.5,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,plasmacytoid DC,plasmacytoid DC,normal immune cell,192.9,TPM,Human Protein Atlas
HLA-DRA,ENSG00000204287,total PBMC,total PBMC,normal immune cell,99.7,TPM,Human Protein Atlas
